date,places ,value
01-01-2019,Bangkok,3334971
01-01-2019,Lopburi ,51858
01-01-2019,Phra Nakhon Si Ayutthaya ,117052
01-01-2019,Saraburi ,89850
01-01-2019,Chainat ,27141
01-01-2019,Nakhon Pathom ,118629
01-01-2019,Sing Buri ,18147
01-01-2019,Ang Thong ,19140
01-01-2019,Nonthaburi ,100553
01-01-2019,Pathum Thani ,56118
01-01-2019,Samut Prakan ,109185
01-01-2019,Samut Sakhon ,56561
01-01-2019,Chachoengsao ,38687
01-01-2019,Ratchaburi ,93978
01-01-2019,Kanchanaburi ,339491
01-01-2019,Samut Songkhram ,65407
01-01-2019,Suphan Buri ,99531
01-01-2019,Phetchaburi ,357725
01-01-2019,Prachuap Khiri Khan ,391494
01-01-2019,Chonburi ,1343262
01-01-2019,Chanthaburi ,118776
01-01-2019,Trat ,205330
01-01-2019,Nakhon Nayok ,140711
01-01-2019,Prachinburi ,106063
01-01-2019,Rayong ,377300
01-01-2019,Sa Kaeo ,69400
01-01-2019,Phuket ,1528585
01-01-2019,Phatthalung ,67285
01-01-2019,Trang ,131744
01-01-2019,Ranong ,85886
01-01-2019,Chumphon ,92831
01-01-2019,Pattani ,18105
01-01-2019,Yala ,49144
01-01-2019,Nakhon Si Thammarat ,245874
01-01-2019,Narathiwat ,53863
01-01-2019,Krabi ,348964
01-01-2019,Songkhla ,431256
01-01-2019,Phang Nga ,128033
01-01-2019,Surat Thani ,484886
01-01-2019,Satun ,88512
01-01-2019,Kamphaeng Phet ,45815
01-01-2019,Chiang Rai ,403624
01-01-2019,Chiang Mai ,928602
01-01-2019,Phichit ,46475
01-01-2019,Nakhon Sawan ,118061
01-01-2019,Tak ,182684
01-01-2019,Phitsanulok ,202934
01-01-2019,Phayao ,33961
01-01-2019,Phetchabun ,214329
01-01-2019,Phrae ,35764
01-01-2019,Lampang ,69285
01-01-2019,Lamphun ,27710
01-01-2019,Mae Hong Son ,137937
01-01-2019,Uttaradit ,65695
01-01-2019,Uthai Thani ,30736
01-01-2019,Sukhothai ,89231
01-01-2019,Nan ,95902
01-01-2019,Kalasin ,23197
01-01-2019,Khon Kaen ,244958
01-01-2019,Chaiyaphum ,72160
01-01-2019,Nakhon Phanom ,46232
01-01-2019,Nakhon Ratchasima ,529946
01-01-2019,Buriram ,113655
01-01-2019,Maha Sarakham ,45480
01-01-2019,Mukdahan ,70953
01-01-2019,Roi Et ,43424
01-01-2019,Loei ,130458
01-01-2019,Sisaket ,44457
01-01-2019,Surin ,100932
01-01-2019,Nong Khai ,118898
01-01-2019,Bueng Kan ,37974
01-01-2019,Udon Thani ,189778
01-01-2019,Ubon Ratchathani ,147377
01-01-2019,Sakon Nakhon ,66034
01-01-2019,Yasothon ,17237
01-01-2019,Amnat Charoen ,8551
01-01-2019,Nong Bua Lamphu ,14081
01-01-2020,Bangkok,3213765
01-01-2020,Lopburi ,39765
01-01-2020,Phra Nakhon Si Ayutthaya ,107777
01-01-2020,Saraburi ,81682
01-01-2020,Chainat ,23128
01-01-2020,Nakhon Pathom ,109852
01-01-2020,Sing Buri ,13873
01-01-2020,Ang Thong ,16084
01-01-2020,Nonthaburi ,83049
01-01-2020,Pathum Thani ,50824
01-01-2020,Samut Prakan ,86797
01-01-2020,Samut Sakhon ,55591
01-01-2020,Chachoengsao ,36156
01-01-2020,Ratchaburi ,84723
01-01-2020,Kanchanaburi ,329862
01-01-2020,Samut Songkhram ,59982
01-01-2020,Suphan Buri ,86973
01-01-2020,Phetchaburi ,326049
01-01-2020,Prachuap Khiri Khan ,341491
01-01-2020,Chonburi ,1329662
01-01-2020,Chanthaburi ,126987
01-01-2020,Trat ,184137
01-01-2020,Nakhon Nayok ,125509
01-01-2020,Prachinburi ,87087
01-01-2020,Rayong ,359238
01-01-2020,Sa Kaeo ,68404
01-01-2020,Phuket ,1524977
01-01-2020,Phatthalung ,65735
01-01-2020,Trang ,125148
01-01-2020,Ranong ,81465
01-01-2020,Chumphon ,90484
01-01-2020,Pattani ,16725
01-01-2020,Yala ,46228
01-01-2020,Nakhon Si Thammarat ,222969
01-01-2020,Narathiwat ,50224
01-01-2020,Krabi ,338142
01-01-2020,Songkhla ,455523
01-01-2020,Phang Nga ,110362
01-01-2020,Surat Thani ,444734
01-01-2020,Satun ,79526
01-01-2020,Kamphaeng Phet ,43616
01-01-2020,Chiang Rai ,392547
01-01-2020,Chiang Mai ,822663
01-01-2020,Phichit ,45232
01-01-2020,Nakhon Sawan ,116065
01-01-2020,Tak ,179957
01-01-2020,Phitsanulok ,192912
01-01-2020,Phayao ,31544
01-01-2020,Phetchabun ,199081
01-01-2020,Phrae ,35523
01-01-2020,Lampang ,64268
01-01-2020,Lamphun ,23987
01-01-2020,Mae Hong Son ,117691
01-01-2020,Uttaradit ,61478
01-01-2020,Uthai Thani ,35301
01-01-2020,Sukhothai ,80615
01-01-2020,Nan ,96325
01-01-2020,Kalasin ,20430
01-01-2020,Khon Kaen ,205657
01-01-2020,Chaiyaphum ,70023
01-01-2020,Nakhon Phanom ,45236
01-01-2020,Nakhon Ratchasima ,498547
01-01-2020,Buriram ,94359
01-01-2020,Maha Sarakham ,37569
01-01-2020,Mukdahan ,63536
01-01-2020,Roi Et ,42487
01-01-2020,Loei ,122692
01-01-2020,Sisaket ,43025
01-01-2020,Surin ,89530
01-01-2020,Nong Khai ,119040
01-01-2020,Bueng Kan ,37457
01-01-2020,Udon Thani ,181587
